,GAME_ID,MATCHUP,LOCATION,W,FINAL_MARGIN,SHOT_NUMBER,PERIOD,GAME_CLOCK,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,SHOT_RESULT,CLOSEST_DEFENDER,CLOSEST_DEFENDER_PLAYER_ID,CLOSE_DEF_DIST,FGM,PTS,player_name,player_id
36,G21400783,"FEB 10, 2015 - CHA vs. DET",H,L,-28.0,2.0,3.0,7:19,11.7,0.0,0.9,24.1,3.0,missed,"Augustin, D.J.",P201571,4.8,0.0,0.0,brian roberts,P203148
37,G21400783,"FEB 10, 2015 - CHA vs. DET",H,L,-28.0,3.0,4.0,10:58,6.5,1.0,1.8,5.1,2.0,missed,"Drummond, Andre",P203083,3.3,0.0,0.0,brian roberts,P203148
38,G21400783,"FEB 10, 2015 - CHA vs. DET",H,L,-28.0,4.0,4.0,7:52,13.8,0.0,0.9,25.0,3.0,missed,"Lucas III, John",P101249,3.0,0.0,0.0,brian roberts,P203148
39,G21400783,"FEB 10, 2015 - CHA vs. DET",H,L,-28.0,5.0,4.0,1:33,12.1,0.0,0.9,24.0,3.0,missed,"Dinwiddie, Spencer",P203915,6.7,0.0,0.0,brian roberts,P203148
40,G21400783,"FEB 10, 2015 - CHA vs. DET",H,L,-28.0,6.0,4.0,0:25,8.3,6.0,5.8,9.3,2.0,missed,"Jerebko, Jonas",P201973,3.6,0.0,0.0,brian roberts,P203148
41,G21400768,"FEB 08, 2015 - CHA vs. IND",H,L,-1.0,1.0,1.0,5:58,19.7,0.0,1.0,24.7,3.0,made,"Miles, CJ",P101139,11.3,1.0,3.0,brian roberts,P203148
42,G21400768,"FEB 08, 2015 - CHA vs. IND",H,L,-1.0,2.0,1.0,5:21,12.8,0.0,0.9,22.5,3.0,made,"Hill, George",P201588,7.2,1.0,3.0,brian roberts,P203148
43,G21400768,"FEB 08, 2015 - CHA vs. IND",H,L,-1.0,3.0,1.0,4:22,16.5,7.0,6.2,8.8,2.0,missed,"Watson, CJ",P201228,2.5,0.0,0.0,brian roberts,P203148
44,G21400768,"FEB 08, 2015 - CHA vs. IND",H,L,-1.0,4.0,1.0,0:31,11.3,0.0,0.8,20.0,2.0,made,"Watson, CJ",P201228,1.9,1.0,2.0,brian roberts,P203148
45,G21400768,"FEB 08, 2015 - CHA vs. IND",H,L,-1.0,5.0,2.0,11:47,9.7,1.0,0.8,24.7,3.0,missed,"Watson, CJ",P201228,4.3,0.0,0.0,brian roberts,P203148
46,G21400768,"FEB 08, 2015 - CHA vs. IND",H,L,-1.0,6.0,2.0,9:18,0.7,3.0,3.7,5.6,2.0,made,"Whittington, Shayne",P203963,2.4,1.0,2.0,brian roberts,P203148
47,G21400768,"FEB 08, 2015 - CHA vs. IND",H,L,-1.0,7.0,3.0,5:19,9.4,0.0,0.9,23.1,3.0,made,"Watson, CJ",P201228,9.1,1.0,3.0,brian roberts,P203148
48,G21400768,"FEB 08, 2015 - CHA vs. IND",H,L,-1.0,8.0,3.0,5:05,19.4,0.0,1.0,5.2,2.0,made,"West, David",P2561,3.2,1.0,2.0,brian roberts,P203148
49,G21400768,"FEB 08, 2015 - CHA vs. IND",H,L,-1.0,9.0,3.0,2:31,15.8,9.0,7.3,20.0,2.0,missed,"Watson, CJ",P201228,1.9,0.0,0.0,brian roberts,P203148
50,G21400768,"FEB 08, 2015 - CHA vs. IND",H,L,-1.0,10.0,3.0,1:01,4.8,2.0,2.8,16.1,2.0,missed,"Hill, Solomon",P203524,4.6,0.0,0.0,brian roberts,P203148
51,G21400768,"FEB 08, 2015 - CHA vs. IND",H,L,-1.0,11.0,3.0,0:32,16.2,9.0,7.8,6.7,2.0,made,"Watson, CJ",P201228,2.3,1.0,2.0,brian roberts,P203148
52,G21400768,"FEB 08, 2015 - CHA vs. IND",H,L,-1.0,12.0,4.0,5:40,22.0,0.0,1.0,5.0,2.0,made,"Hill, George",P201588,4.3,1.0,2.0,brian roberts,P203148
53,G21400768,"FEB 08, 2015 - CHA vs. IND",H,L,-1.0,13.0,4.0,2:50,6.5,2.0,1.6,11.4,2.0,missed,"Hill, George",P201588,3.2,0.0,0.0,brian roberts,P203148
54,G21400768,"FEB 08, 2015 - CHA vs. IND",H,L,-1.0,14.0,4.0,0:01,,5.0,3.7,34.4,3.0,missed,"Hill, George",P201588,3.6,0.0,0.0,brian roberts,P203148
55,G21400761,"FEB 07, 2015 - CHA @ PHI",A,L,-8.0,1.0,1.0,9:21,10.7,0.0,0.8,19.5,2.0,made,"Frazier, Tim",P204025,4.7,1.0,2.0,brian roberts,P203148
56,G21400761,"FEB 07, 2015 - CHA @ PHI",A,L,-8.0,2.0,1.0,7:32,5.0,2.0,4.7,22.9,2.0,missed,"Noel, Nerlens",P203457,6.8,0.0,0.0,brian roberts,P203148
57,G21400761,"FEB 07, 2015 - CHA @ PHI",A,L,-8.0,3.0,1.0,4:42,15.6,0.0,0.9,24.0,3.0,made,"Grant, Jerami",P203924,5.5,1.0,3.0,brian roberts,P203148
58,G21400761,"FEB 07, 2015 - CHA @ PHI",A,L,-8.0,4.0,1.0,3:10,10.4,0.0,1.0,19.5,2.0,missed,"Frazier, Tim",P204025,4.0,0.0,0.0,brian roberts,P203148
59,G21400761,"FEB 07, 2015 - CHA @ PHI",A,L,-8.0,5.0,1.0,1:13,10.9,0.0,0.8,23.7,3.0,missed,"Sampson, JaKarr",P203960,5.0,0.0,0.0,brian roberts,P203148
60,G21400761,"FEB 07, 2015 - CHA @ PHI",A,L,-8.0,6.0,3.0,6:52,7.4,1.0,2.4,14.8,2.0,missed,"Frazier, Tim",P204025,3.4,0.0,0.0,brian roberts,P203148
61,G21400761,"FEB 07, 2015 - CHA @ PHI",A,L,-8.0,7.0,3.0,6:26,15.7,10.0,8.6,25.0,3.0,missed,"Frazier, Tim",P204025,5.2,0.0,0.0,brian roberts,P203148
62,G21400761,"FEB 07, 2015 - CHA @ PHI",A,L,-8.0,8.0,3.0,5:38,9.7,0.0,0.7,22.2,3.0,missed,"Mbah a Moute, Luc",P201601,5.8,0.0,0.0,brian roberts,P203148
63,G21400761,"FEB 07, 2015 - CHA @ PHI",A,L,-8.0,9.0,3.0,2:52,0.3,0.0,0.4,26.7,3.0,missed,"Grant, Jerami",P203924,11.6,0.0,0.0,brian roberts,P203148
64,G21400761,"FEB 07, 2015 - CHA @ PHI",A,L,-8.0,10.0,4.0,3:36,15.8,11.0,8.5,19.6,2.0,missed,"Frazier, Tim",P204025,2.7,0.0,0.0,brian roberts,P203148
65,G21400761,"FEB 07, 2015 - CHA @ PHI",A,L,-8.0,11.0,4.0,1:57,11.7,2.0,2.2,25.3,3.0,missed,"Noel, Nerlens",P203457,5.6,0.0,0.0,brian roberts,P203148
66,G21400761,"FEB 07, 2015 - CHA @ PHI",A,L,-8.0,12.0,4.0,0:56,20.2,3.0,3.5,28.0,3.0,missed,"Frazier, Tim",P204025,5.3,0.0,0.0,brian roberts,P203148
67,G21400742,"FEB 05, 2015 - CHA vs. WAS",H,W,7.0,1.0,1.0,8:43,16.0,0.0,0.8,24.9,3.0,missed,"Wall, John",P202322,5.8,0.0,0.0,brian roberts,P203148
68,G21400742,"FEB 05, 2015 - CHA vs. WAS",H,W,7.0,2.0,1.0,6:42,9.4,1.0,1.5,6.7,2.0,missed,"Wall, John",P202322,2.0,0.0,0.0,brian roberts,P203148
69,G21400742,"FEB 05, 2015 - CHA vs. WAS",H,W,7.0,3.0,1.0,3:42,14.5,0.0,0.7,24.4,3.0,missed,"Gortat, Marcin",P101162,8.7,0.0,0.0,brian roberts,P203148
70,G21400742,"FEB 05, 2015 - CHA vs. WAS",H,W,7.0,4.0,1.0,0:09,5.3,0.0,0.6,24.1,3.0,missed,"Temple, Garrett",P202066,9.2,0.0,0.0,brian roberts,P203148
71,G21400742,"FEB 05, 2015 - CHA vs. WAS",H,W,7.0,5.0,2.0,1:32,12.1,1.0,0.8,25.0,3.0,missed,"Pierce, Paul",P1718,10.6,0.0,0.0,brian roberts,P203148
72,G21400742,"FEB 05, 2015 - CHA vs. WAS",H,W,7.0,6.0,2.0,1:23,17.3,1.0,1.8,26.2,3.0,missed,"Wall, John",P202322,4.8,0.0,0.0,brian roberts,P203148
73,G21400742,"FEB 05, 2015 - CHA vs. WAS",H,W,7.0,7.0,3.0,4:36,14.5,10.0,9.2,21.8,2.0,made,"Wall, John",P202322,4.4,1.0,2.0,brian roberts,P203148
74,G21400742,"FEB 05, 2015 - CHA vs. WAS",H,W,7.0,8.0,3.0,3:03,9.9,1.0,3.2,20.4,2.0,missed,"Humphries, Kris",P2743,4.6,0.0,0.0,brian roberts,P203148
75,G21400742,"FEB 05, 2015 - CHA vs. WAS",H,W,7.0,9.0,3.0,0:42,4.7,1.0,2.1,24.7,3.0,made,"Temple, Garrett",P202066,3.5,1.0,3.0,brian roberts,P203148
76,G21400742,"FEB 05, 2015 - CHA vs. WAS",H,W,7.0,10.0,3.0,0:01,,2.0,3.6,13.1,2.0,made,"Butler, Rasual",P2446,2.5,1.0,2.0,brian roberts,P203148
77,G21400742,"FEB 05, 2015 - CHA vs. WAS",H,W,7.0,11.0,4.0,11:27,8.7,3.0,2.2,24.0,3.0,missed,"Temple, Garrett",P202066,4.2,0.0,0.0,brian roberts,P203148
78,G21400742,"FEB 05, 2015 - CHA vs. WAS",H,W,7.0,12.0,4.0,9:38,24.0,0.0,0.0,14.5,2.0,made,"Porter, Otto",P203490,10.7,1.0,2.0,brian roberts,P203148
79,G21400742,"FEB 05, 2015 - CHA vs. WAS",H,W,7.0,13.0,4.0,1:38,3.0,5.0,4.7,21.7,2.0,made,"Wall, John",P202322,4.8,1.0,2.0,brian roberts,P203148
80,G21400719,"FEB 02, 2015 - CHA @ WAS",A,W,4.0,1.0,1.0,9:18,22.0,4.0,3.0,21.2,2.0,made,"Wall, John",P202322,9.0,1.0,2.0,brian roberts,P203148
81,G21400719,"FEB 02, 2015 - CHA @ WAS",A,W,4.0,2.0,1.0,6:09,11.8,0.0,1.0,20.8,2.0,missed,"Wall, John",P202322,3.9,0.0,0.0,brian roberts,P203148
82,G21400719,"FEB 02, 2015 - CHA @ WAS",A,W,4.0,3.0,1.0,3:28,7.5,0.0,0.6,4.4,2.0,made,"Humphries, Kris",P2743,2.8,1.0,2.0,brian roberts,P203148
83,G21400719,"FEB 02, 2015 - CHA @ WAS",A,W,4.0,4.0,2.0,2:12,20.2,0.0,1.0,24.4,3.0,made,"Wall, John",P202322,12.8,1.0,3.0,brian roberts,P203148
84,G21400719,"FEB 02, 2015 - CHA @ WAS",A,W,4.0,5.0,2.0,0:45,20.2,4.0,3.2,26.5,3.0,missed,"Wall, John",P202322,4.4,0.0,0.0,brian roberts,P203148
85,G21400719,"FEB 02, 2015 - CHA @ WAS",A,W,4.0,6.0,3.0,6:57,10.5,2.0,4.9,22.0,2.0,missed,Nene,P2403,8.0,0.0,0.0,brian roberts,P203148
86,G21400719,"FEB 02, 2015 - CHA @ WAS",A,W,4.0,7.0,3.0,5:20,12.3,2.0,2.4,3.4,2.0,made,"Wall, John",P202322,1.8,1.0,2.0,brian roberts,P203148
87,G21400719,"FEB 02, 2015 - CHA @ WAS",A,W,4.0,8.0,4.0,6:14,0.8,5.0,4.2,22.7,2.0,made,"Humphries, Kris",P2743,4.3,1.0,2.0,brian roberts,P203148
88,G21400719,"FEB 02, 2015 - CHA @ WAS",A,W,4.0,9.0,4.0,5:37,5.2,0.0,0.8,25.8,3.0,missed,"Temple, Garrett",P202066,5.7,0.0,0.0,brian roberts,P203148
89,G21400719,"FEB 02, 2015 - CHA @ WAS",A,W,4.0,10.0,4.0,2:18,14.7,9.0,8.8,8.0,2.0,made,"Gortat, Marcin",P101162,3.7,1.0,2.0,brian roberts,P203148
90,G21400713,"JAN 31, 2015 - CHA @ DEN",A,W,18.0,1.0,1.0,9:58,13.7,3.0,3.9,13.0,2.0,missed,"Gallinari, Danilo",P201568,3.1,0.0,0.0,brian roberts,P203148
91,G21400713,"JAN 31, 2015 - CHA @ DEN",A,W,18.0,2.0,1.0,9:25,19.9,1.0,1.8,24.4,3.0,missed,"Nurkic, Jusuf",P203994,9.5,0.0,0.0,brian roberts,P203148
92,G21400713,"JAN 31, 2015 - CHA @ DEN",A,W,18.0,3.0,1.0,5:43,7.2,0.0,0.8,24.8,3.0,missed,"Lawson, Ty",P201951,5.7,0.0,0.0,brian roberts,P203148
93,G21400713,"JAN 31, 2015 - CHA @ DEN",A,W,18.0,4.0,1.0,3:49,20.1,2.0,2.7,1.5,2.0,missed,"Hickson, JJ",P201581,0.6,0.0,0.0,brian roberts,P203148
94,G21400713,"JAN 31, 2015 - CHA @ DEN",A,W,18.0,5.0,3.0,9:26,15.8,0.0,1.0,24.8,3.0,missed,"Lawson, Ty",P201951,7.8,0.0,0.0,brian roberts,P203148
95,G21400713,"JAN 31, 2015 - CHA @ DEN",A,W,18.0,6.0,3.0,8:19,9.7,0.0,0.8,20.3,2.0,missed,"Hickson, JJ",P201581,5.4,0.0,0.0,brian roberts,P203148
96,G21400713,"JAN 31, 2015 - CHA @ DEN",A,W,18.0,7.0,3.0,6:50,16.7,7.0,5.0,19.6,2.0,missed,"Lawson, Ty",P201951,4.6,0.0,0.0,brian roberts,P203148
97,G21400689,"JAN 28, 2015 - CHA @ SAS",A,L,-9.0,1.0,1.0,6:08,14.6,10.0,9.7,21.0,2.0,missed,"Parker, Tony",P2225,6.3,0.0,0.0,brian roberts,P203148
98,G21400689,"JAN 28, 2015 - CHA @ SAS",A,L,-9.0,2.0,1.0,5:00,17.6,0.0,0.8,24.5,3.0,missed,"Parker, Tony",P2225,3.8,0.0,0.0,brian roberts,P203148
99,G21400689,"JAN 28, 2015 - CHA @ SAS",A,L,-9.0,3.0,1.0,2:41,10.3,1.0,1.2,18.0,2.0,missed,"Mills, Patty",P201988,5.9,0.0,0.0,brian roberts,P203148
100,G21400689,"JAN 28, 2015 - CHA @ SAS",A,L,-9.0,4.0,3.0,11:49,24.0,0.0,2.2,4.4,2.0,missed,"Duncan, Tim",P1495,7.0,0.0,0.0,brian roberts,P203148
101,G21400689,"JAN 28, 2015 - CHA @ SAS",A,L,-9.0,5.0,3.0,7:44,9.1,0.0,0.8,25.7,3.0,made,"Parker, Tony",P2225,3.5,1.0,3.0,brian roberts,P203148
102,G21400689,"JAN 28, 2015 - CHA @ SAS",A,L,-9.0,6.0,3.0,6:02,15.1,8.0,8.4,7.9,2.0,made,"Parker, Tony",P2225,2.0,1.0,2.0,brian roberts,P203148
103,G21400689,"JAN 28, 2015 - CHA @ SAS",A,L,-9.0,7.0,3.0,4:54,12.4,0.0,0.7,25.8,3.0,missed,"Ginobili, Manu",P1938,5.1,0.0,0.0,brian roberts,P203148
104,G21400689,"JAN 28, 2015 - CHA @ SAS",A,L,-9.0,8.0,3.0,1:59,17.0,8.0,6.8,24.6,3.0,missed,"Mills, Patty",P201988,3.2,0.0,0.0,brian roberts,P203148
105,G21400689,"JAN 28, 2015 - CHA @ SAS",A,L,-9.0,9.0,4.0,5:58,21.7,0.0,1.0,25.0,3.0,missed,"Parker, Tony",P2225,4.4,0.0,0.0,brian roberts,P203148
106,G21400689,"JAN 28, 2015 - CHA @ SAS",A,L,-9.0,10.0,4.0,3:45,7.1,0.0,0.8,22.7,3.0,made,"Parker, Tony",P2225,3.2,1.0,3.0,brian roberts,P203148
107,G21400689,"JAN 28, 2015 - CHA @ SAS",A,L,-9.0,11.0,4.0,1:40,12.0,0.0,1.7,23.9,3.0,missed,"Mills, Patty",P201988,11.0,0.0,0.0,brian roberts,P203148
108,G21400652,"JAN 24, 2015 - CHA vs. NYK",H,W,5.0,1.0,1.0,11:02,16.0,0.0,0.7,19.2,2.0,missed,"Galloway, Langston",P204038,6.3,0.0,0.0,brian roberts,P203148
109,G21400652,"JAN 24, 2015 - CHA vs. NYK",H,W,5.0,2.0,1.0,6:05,16.7,5.0,5.5,21.0,2.0,made,"Amundson, Lou",P200811,4.1,1.0,2.0,brian roberts,P203148
110,G21400652,"JAN 24, 2015 - CHA vs. NYK",H,W,5.0,3.0,2.0,3:21,6.2,1.0,2.4,24.5,3.0,made,"Galloway, Langston",P204038,5.9,1.0,3.0,brian roberts,P203148
111,G21400652,"JAN 24, 2015 - CHA vs. NYK",H,W,5.0,4.0,2.0,0:29,13.3,4.0,3.9,20.8,2.0,missed,"Smith, Jason",P201160,7.0,0.0,0.0,brian roberts,P203148
112,G21400652,"JAN 24, 2015 - CHA vs. NYK",H,W,5.0,5.0,3.0,7:43,11.7,0.0,0.9,19.0,2.0,made,"Galloway, Langston",P204038,5.3,1.0,2.0,brian roberts,P203148
113,G21400652,"JAN 24, 2015 - CHA vs. NYK",H,W,5.0,6.0,3.0,5:09,6.6,2.0,3.2,19.3,2.0,made,"Galloway, Langston",P204038,3.7,1.0,2.0,brian roberts,P203148
114,G21400652,"JAN 24, 2015 - CHA vs. NYK",H,W,5.0,7.0,4.0,6:21,14.5,12.0,8.7,11.0,2.0,missed,"Galloway, Langston",P204038,0.8,0.0,0.0,brian roberts,P203148
115,G21400652,"JAN 24, 2015 - CHA vs. NYK",H,W,5.0,8.0,4.0,6:13,20.2,0.0,0.9,24.6,3.0,missed,"Smith, Jason",P201160,13.0,0.0,0.0,brian roberts,P203148
116,G21400652,"JAN 24, 2015 - CHA vs. NYK",H,W,5.0,9.0,4.0,2:17,4.7,5.0,5.5,17.8,2.0,made,"Galloway, Langston",P204038,5.0,1.0,2.0,brian roberts,P203148
117,G21400643,"JAN 23, 2015 - CHA @ CLE",A,L,-39.0,1.0,2.0,7:05,9.8,0.0,0.9,24.7,3.0,missed,"Irving, Kyrie",P202681,7.9,0.0,0.0,brian roberts,P203148
118,G21400643,"JAN 23, 2015 - CHA @ CLE",A,L,-39.0,2.0,3.0,3:15,15.1,0.0,0.8,22.7,3.0,made,"Irving, Kyrie",P202681,8.7,1.0,3.0,brian roberts,P203148
119,G21400643,"JAN 23, 2015 - CHA @ CLE",A,L,-39.0,3.0,3.0,2:43,10.0,2.0,5.2,18.1,2.0,missed,"Thompson, Tristan",P202684,3.3,0.0,0.0,brian roberts,P203148
120,G21400643,"JAN 23, 2015 - CHA @ CLE",A,L,-39.0,4.0,4.0,7:12,15.8,0.0,1.3,24.8,3.0,missed,"Miller, Mike",P2034,8.1,0.0,0.0,brian roberts,P203148
121,G21400625,"JAN 21, 2015 - CHA vs. MIA",H,W,2.0,1.0,2.0,11:42,5.5,0.0,0.7,25.1,3.0,made,"Ennis, James",P203516,7.8,1.0,3.0,brian roberts,P203148
122,G21400625,"JAN 21, 2015 - CHA vs. MIA",H,W,2.0,2.0,4.0,7:52,24.0,0.0,6.3,2.7,2.0,missed,"Haslem, Udonis",P2617,3.3,0.0,0.0,brian roberts,P203148
123,G21400611,"JAN 19, 2015 - CHA vs. MIN",H,W,25.0,1.0,1.0,9:44,16.2,8.0,7.6,20.5,2.0,made,"Williams, Mo",P2590,2.9,1.0,2.0,brian roberts,P203148
124,G21400611,"JAN 19, 2015 - CHA vs. MIN",H,W,25.0,2.0,1.0,6:34,12.9,0.0,0.8,18.3,2.0,made,"Williams, Mo",P2590,5.1,1.0,2.0,brian roberts,P203148
125,G21400611,"JAN 19, 2015 - CHA vs. MIN",H,W,25.0,3.0,1.0,4:24,2.0,4.0,2.9,6.7,2.0,missed,"Young, Thaddeus",P201152,0.8,0.0,0.0,brian roberts,P203148
126,G21400611,"JAN 19, 2015 - CHA vs. MIN",H,W,25.0,4.0,1.0,3:03,13.5,0.0,1.0,21.6,2.0,missed,"Williams, Mo",P2590,12.2,0.0,0.0,brian roberts,P203148
